Company Name, Telephone, Email, Website
LES VERGERS DU MEKONG, 84.8 .5120430, info@vergersmekong.com, NaN
ANTESCO , 84-76-841460 - 841352        , antesco@hcm.vnn.vn, http://www.antescovn.com/
HOANG HAU  DRAGON FRUIT FARM  , 84-62-898616 -867169-867295        , dragonfruithoanghau@hcm.vnn.vn, NaN
VF Co. Ltd, 84-8-5150241        , nguyen_man@yahoo.com, NaN
SOUTHERN FRUIT RESEARCH INSTITUTE, 84-73-834699        , MCH@hcm.vnn.vn, http://www.sofri.ac.vn/
GINO Co. Ltd, 84-8.8293134 , ginodao@hcm.fpt.vn, NaN
THAO NGUYEN Co. Ltd, 84-8-8988799 -8988556        , tnc@fmail.vnn.vn, http://www.thaonguyen-vietnam.com/
TREXIMCO, 84-75-825775 -822167        , trgiang@hcm.vnn.vn, NaN
BETRIMEX, 84-75-822287 -822316        , betrimex@hcm.vnn.vn, http://www.betrimex.com/
Export Agricultural Foodstuff Processing  Enterprise.,  071.871038, tranminhct@hcm.vnn.vn, NaN
AN GIANG PLANT PROTECTION SERVICE COMPANY , 84-76-841299 -844461        , binhny@hcm.vnn.vn, NaN
BA MINH NURSERY , 84.70.823206, Baminh@pmail.vnn.vn, http://www.xoaibaminh.com/
TICAY, 84-8-8608473-9733653, tblongtrade@yahoo.com%20, http://www.ticay.com%20
DOAN KET JOINT STOCK Co., 84.50.852623, NaN, NaN
KHANH GIANG Co. Ltd, 84-8-9627536 -9627612        , khgiang@hcm.fpt.vn%20, NaN
VEGESA JOINT .STOCK COMPANY, 84-8-8652923        , vegesa@hcm.fpt.vn, NaN
VEGETEXCO HO CHI MINH CITY   , 84-8-8 299546 -8211567        , vghcm@hcm.fpt.vn%20, http://www.vegetexcohcm.com
ORANA VIET NAM,  84.8.7176310, oranavn@hcm.vnn.vn, NaN
TAN HUNG Co.Ltd ,  84-8-8752684         , tanhungco@hcm.vnn.vn, NaN
VEGETEXCO PORT,  84-8-7731121         , vegeportjco@hcm.vnn.vn, NaN
SWIRE PACIFIC Co.Ltd  ,  84-650-790015     , thuhoa@spcs.com.vn, NaN
QUANG MINH ANH CO.Ltd,  08.7112004; , hamuspex@hcm.vnn.vn, NaN
HOA KHANH  FRUIT PACK HOUSE,  84-73-824253     , kimlieng2001@yahoo.com, NaN
TAN BINH,  84-8-8497166     , tpxktanbinh@hcm.vnn.vn, http://www.tafoco.vn.com/
KIEN GIANG,  84-77-864003         , kiveco@hotmail.com, http://www.kiveco.com/
HOANG GIA Co.Ltd,  84-70-892412         , lntgiang@yahoo.com, http://www.5roi.com/
DONATECHNO,  061.879281, donatech@hcm.vnn.vn, NaN
VEGETIGI,  84-73-834676         , vegetigi@hcm.fpt.vn, http://www.vegetigi.com/
VEGETEXCO HANOI ,  84-4-6621441 , fruitmanu@hn.vnn.vn, http://www.vietnamcanfoo.com/
MAI XUAN Co.Ltd,  84-4-9967677     , maixuanco-02@hcm.vnn.vn, NaN
VAN BINH,  062.898629; , muoithingo@yahoo.com, NaN
